airline,airline_sentiment,text
Virgin America,negative,Terrible customer service on the phone. @VirginAmerica #awful
Virgin America,negative,Worst experience of my life. Flight delayed by 4 hours. @VirginAmerica #awful
Virgin America,negative,Why is my flight always delayed without any notice? @VirginAmerica #awful
Delta,negative,Why is my flight always delayed without any notice? @Delta #awful
Virgin America,neutral,Average service. Could be better. @VirginAmerica
Virgin America,positive,The food was surprisingly good. @VirginAmerica #amazing
Southwest,neutral,"Flight was okay, nothing special. @Southwest"
Southwest,negative,The staff was incredibly rude and unhelpful. @Southwest #awful
United,negative,Terrible customer service on the phone. @United #awful
US Airways,positive,Thank you for the amazing service. @USAirways #amazing
Delta,positive,Thank you for the amazing service. @Delta #amazing
Virgin America,neutral,Got from A to B safely. @VirginAmerica
American,negative,"Horrible boarding process, chaotic and stressful. @American #awful"
Delta,negative,Never flying with you again. Absolutely terrible. @Delta #awful
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
Virgin America,neutral,Arrived on time. Standard experience. @VirginAmerica
Delta,positive,Very comfortable seats and plenty of legroom. @Delta #amazing
US Airways,negative,Worst experience of my life. Flight delayed by 4 hours. @USAirways #awful
US Airways,negative,Why is my flight always delayed without any notice? @USAirways #awful
Virgin America,neutral,Boarding was standard. @VirginAmerica
Delta,neutral,"Food was okay, pretty standard for airline food. @Delta"
American,positive,Great customer service at the gate. @American #amazing
American,neutral,Arrived on time. Standard experience. @American
United,neutral,Average service. Could be better. @United
United,negative,The staff was incredibly rude and unhelpful. @United #awful
Southwest,neutral,Boarding was standard. @Southwest
American,negative,Seats are too small and uncomfortable. @American #awful
US Airways,neutral,Just another flight. @USAirways
American,positive,I had a wonderful flight experience today! The crew was so polite. @American #amazing
Virgin America,positive,Great customer service at the gate. @VirginAmerica #amazing
Southwest,positive,Great customer service at the gate. @Southwest #amazing
Southwest,negative,Lost my luggage again... extremely disappointed. @Southwest #awful
American,neutral,Boarding was standard. @American
Delta,positive,I had a wonderful flight experience today! The crew was so polite. @Delta #amazing
United,positive,The food was surprisingly good. @United #amazing
US Airways,neutral,"Flight was okay, nothing special. @USAirways"
Virgin America,positive,Very comfortable seats and plenty of legroom. @VirginAmerica #amazing
US Airways,negative,Terrible customer service on the phone. @USAirways #awful
Southwest,negative,Seats are too small and uncomfortable. @Southwest #awful
Virgin America,negative,The staff was incredibly rude and unhelpful. @VirginAmerica #awful
Southwest,negative,"Food was awful, could not eat anything. @Southwest #awful"
Virgin America,negative,Seats are too small and uncomfortable. @VirginAmerica #awful
American,neutral,Average service. Could be better. @American
Southwest,negative,Worst experience of my life. Flight delayed by 4 hours. @Southwest #awful
US Airways,negative,Never flying with you again. Absolutely terrible. @USAirways #awful
United,positive,Great customer service at the gate. @United #amazing
Delta,negative,Why is my flight always delayed without any notice? @Delta #awful
